,top_score_synthetic,top_explanation_init_strs,explanation_init_ngrams,module_num,fmri_test_corr
146,0.033,"verbal hesitation, such as ""um,"" ""uhh,"" or ""wheh.""","['two armoirs', 'this went on', 'the d.', 'the verbs are', 'that a he', 'this the one', 'this really', 'we um went', 'this look', 'transitioned from', 'the verbs', 'the um', 'we um', 'the other hand', 'shock um we', 'this eye i', 'the um to', 'this sign', 'was seventeen', 'the nouns', 'you know like', 'he um but', 'had a known', 'and two armoirs', 'we went we', 'this other', 'the the the', 'was six', 'this a this', 'this um this', 'here um then', 'a lateral', 'sixteen um', 'wheh', 'this this', 'the to', 'to the line', 'wait i i', 'the one thing', 'this one cool', 'was seventeen years', 'a manhattan', 'this strange', 'um three', 'n nah', 'uhh um uhh', 'this that', 'this this guy', 'seven five', 'the hand', 'this really weird', 'and we um', 'the and the', 'the other thing', 'ten twelve degree', 'we um wanted', 'had only', 'this all this', 'interior um to', 'this room', 'the one', 'there had a', 'this this whole', 'sixteen um a', 'the summers', 'this so', 'the victorian', 'this vague', 'you guys', 'a ten twelve', 'the hallways', 'this luh wonderful', 'these double', 'these ways', 'this he']",174,0.621
186,0.033,"often used as fillers in speech, such as ""uh,"" ""um,"" and ""so.""","['an iodine solution', 'iodine', 'ba ba and', 'like having chlorine', 'pokes her', 'iodine solution', ""'s mayor dinkins"", 'my grad', 'comes bouncing up', 'kids uh he', 'ba and um', 'ba and', 'the candle and', 'in she', 'exting', 'oranges away', 'uh so he', ""the teacher 's"", ""'ll uh"", 'she goes outside', 'she offers me', 'the candle i', 'an iodine', 'tom he was', 'put a candle', 'like an iodine', 'you really ought', ""'s the cameras"", 'in uh yes', 'bob comes', 'she points', 'while uh he', 'he finishes he', 'uh she offers', 'mayor dinkins', 'their teacups', 'bob comes over', 'um he may', 'know ha how', 'uh candles and', 'cleans uh', 'before so so', 'be and um', 'is after all', 'she offers', ""school she 's"", 'we sat', 'up the guitar', ""inside there 's"", 'up there against', 'a candle in', 'when as', 'kid into the', ""there what 's"", 'mm mm so', 'well ms', 'she explains her', 'i step up', 'your lpu your', ""'ll and so"", ""whatever 's"", 'acedia then so', ""'s mike"", 'kids down there', 'out their easels', 'in in my', 'the cigarette and', 'my ba uh', 'she points out', 'diapers it was', 'she meets', 'sin uh and', 'we should we', 'i my high', 'boat she might']",34,0.673
174,0.033,"people and/or things related to health, culture, and/or history","['overstock', 'pinstripes', ""christ 's sake"", 'threats hate mail', ""dante 's inferno"", 'andy warhol covers', 'jeez so', 'mortality rates', ""valentine 's day"", 'mental health workers', 'flight manuals', 'runway shows', 'the mortality rates', 'microclimate', 'the kennedys', 'health workers who', 'by the way', 'three sisters', 'wayward path as', 'surgeries', 'the overstock', 'ah jeez so', ""gilligan 's"", 'there are three', 'fawcett posters', 'by tom waits', 'fawcett posters my', 'the hindu', 'pinstripe', 'license to', 'beautiful sunny sunday', 'four brothers', 'nouns and', 'macaroni', 'christmas trees', 'so i called', 'surgeries to', 'cabbage patch', 'sexual abuse', 'description', 'bus fare', 'nervous breakdown', 'wait a minute', 'interview magazines', 'seven deadly sins', 'emancipation proclamation', 'fawcett', 'license to parent', 'occurs to me', 'warhol covers', 'insurance', 'text from', 'long island', 'tom waits', 'homeless kids', ""i 've seen"", 'female models', 'the verbs are', 'subways', 'i mean it', 'southern shore', 'providence rhode island', 'mortality', 'the kennedys they', 'mental health', 'dvds by', 'articulation', 'male models', 'emancipation proclamation right', ""you 've seen"", 'intakes dysfunctional', 'fourteen years', 'phds', 'gertrude stein', 'checklist canopy visor']",45,0.667
75,0.031,a verb or verb phrase,"['the result was', 'result was', 'in a committed', 'did a sold', 'had elected not', 'up for tenure', 'losing in the', 'x', 'women', 'was the creative', 'never as myself', 'a fetal', ""there 's his"", 'event it', 'cause if', 'at a steiner', 'party ended', 'goes pff', 'the result', 'determined not', 'as myself', 'the women', 'and as he', 'even as a', 'in a group', ""there 's brian"", 'drawn a naked', 'cause', ""he 'd b"", 'as a woman', 'elected not to', 'event beginning of', 'the final', 'i re i', 'from not', 'a some', 'became a male', 'elected not', 'as he', 'not as like', 'candidates or as', 'a committed', 'artist', 'f ing', 'sends', 'finishes he', 'as as reading', 'he ever', 'that would', 'invited up', 'training as an', ""there 'd"", 'cause he', 'stage by', ""then there 'd"", 'campaign i', 'midst', 'had elected', 'cause he matches', 'was madame', ""'d sent"", ""because he 's"", 'married at', 'as there', 'th', 'transracial', 'married in', 'inn', 'unsent', 'lost a', ""that 's supposed"", ""he 'd"", ""'d married"", 'revealed as', 'as an']",20,0.687
177,0.031,action or interaction between people,"[""claimed he 'd"", 'off for senegal', ""cause i 'm"", 'really really wanted', ""who 'd recruited"", 'firemen came', 'ass cans and', ""'d been shot"", 'firemen came and', 'staring right at', 'hair that made', ""he 'd just"", 'cause sam liked', 'supposed to save', ""they 'd come"", 'really wanted to', 'wanted to help', 'holder and gets', ""who 'd introduced"", 'told some kid', 'really wanted', 'tried to help', 'cloths were pulled', 'cause he had', 'i end up', 'asked for help', 'cause he did', 'salmonella poisoning', 'throwing napkins at', ""says he 'll"", 'he calls', ""'d gone somewhere"", 'which was where', 'who he wants', 'golly mike', 'who really worshipped', 'really tempted because', 'providence rhode', 'had called', 'in some bar', 'would bug him', ""'d gotten them"", 'for projects', 'he asked jt', 'being honest', 'mail came back', 'who it was', 'boat pulls up', 'who was going', ""saying somebody 's"", 'which was great', ""'s parked down"", 'he says to', 'his job because', 'cheap beer and', 'had been crying', ""'s invited but"", 'so rudy leaves', ""cause he 's"", 'he said instead', 'stuff in it', ""something he 'd"", 'nasa', 'waving at me', 'cause it was', 'calls that were', 'supposed to need', ""'d been calm"", 'things that worked', ""somebody 's"", ""'ll get fired"", 'he called', 'cared about', ""he 'd sent"", 'he took some']",79,0.65
102,0.03,numbers or references to numbers,"['gettysburg', 'prior to that', 'nineteen ninety three', 'know we got', 'and for that', 'nineteen ninety one', 'country', 'fourteen a', 'wanna see', 'results this', 'for that', 'got him', 'sixty nine', 'seven five', 'man my', 'sixty three', 'you know what', 'knee deep', 'know what that', 'know i got', 'me you got', 'all wanna know', 'eighty seven five', 'suck i', 'thirty nine', 'knows what but', 'you got that', 'know you got', 'you that uncle', 'sixteen seventeen', 'sure what', 'thirty nine it', 'seven eighty seven', 'me you still', 'pull and pry', 'we we got', 'so bleedin', 'of that', 'thirty seven', 'you you know', 'got us', 'nineteen thirty three', 'you know on', 'not sure', 'got me', 'and if she', 'me i sucked', 'thirty three', 'down it', 'way and again', 'thirty four', 'this is where', 'by this', 'you sure i', 'nineteen seventy seven', 'so blah blah', 'it that it', 'came down', 'up to that', 'me know i', 'pass through', 'man call', 'ninety nine', 'you know for', 'know what my', 'you ever seen', 'married him', 'pittsburgh', 'that happened', 'since that', 'thirty three m', 'my my', 'you wanna know', 'that all', 'you got']",28,0.678
34,0.028,people and places,"['so elene and', 'elene said we', 'elene and i', 'and so elene', 'elene said', ""so that 's"", 'and elene said', ""'m one of"", 'elene and', 'so elene', 'so that meant', ""cayuga there 's"", 'and good riddance', 'elene had', 'elene said oh', ""camps there 's"", ""'m a good"", ""i 've been"", ""' auntie"", 'so that was', 'though so then', ""gilligan 's island"", 'so much to', ""'s somebody here"", 'i unhooked my', 'by now', ""out he 's"", ""father 's getting"", ""'m the only"", ""so there 's"", 'boy are you', ""them there 's"", ""that 's all"", ""'ve run out"", 'biafran', ""'m walking around"", 'grandfather caught a', 'so marc was', ""they 're busy"", ""are n't there"", ""'s guild and"", 'that elene had', ""here 's another"", ""they 've got"", 'pair of bikinis', 'and elene', ""'ve got two"", 'my dearest', 'something was up', ""kid 's here"", ""daughter there 's"", ""n't be sure"", ""'m somewhat famous"", ""'s just that"", ""out everybody 's"", 'elene had a', ""it 's been"", ""'m stuck there"", 'now so that', 'that my little', ""'s so much"", ""that 's right"", ""'s that who"", ""'ve got"", 'my husband is', ""'m right in"", ""okay that 's"", ""'m sure that"", ""'re one of"", ""like gilligan 's"", ""'m knee deep"", 'good a and', 'and so for', ""'m taking off"", ""n't everybody else""]",138,0.629
182,0.027,"objects and activities related to technology, home, and entertainment","['harry potter where', 'fire extinguisher and', 'exting fire extinguisher', 'harry potter', 'proofing problem and', 'squeaky round styrofoam', 'photocopying machine and', 'set of controls', 'sound proofing problem', 'fire extinguisher', 'need to stop', 'round styrofoam plate', 'screen saver comes', 'effect and rinsing', 'head and gargling', 'proofing problem', 'throwing napkins at', 'unbelievably hot and', 'styrofoam plate with', 'photocopying machine', 'glastonbury festival', 'inch by inch', 'oh my god', 'ah jeez', 'mcgough', 'styrofoam plate', 'round styrofoam', 'reporting hazardous waste', 'eagerness to feed', 'stuff overwhelm', 'department of homeland', 'new photocopying machine', 'a surround sound', 'capacity to handle', 'find our way', ""gilligan 's island"", 'number of jobs', 'photocopying machine on', 'in harry potter', 'under the age', 'screen saver', 'consumer entertainment prozac', 'based modes', 'microbes', 'jeez', ""time 's over"", 'unbelievably hot', 'was unbelievably hot', 'how to release', 'custom database application', 'had to memorize', 'almost anorexically petite', 'miles an hour', 'a screen saver', 'up and up', 'surround shower effect', 'crack the code', 'dallas cowboys', 'of supply and', 'call gen x', 'pull and pry', 'on an emergency', 'trained to eject', 'pneumatic tubes', 'smashes and breaks', 'photocopying', 'like sprinting down', 'hopping dots morph', 'need to get', 'keychain', 'echelons of leadership', 'chop wood', ""head 's on"", 'abercormbie and', 'it builds']",117,0.635
134,0.027,"objects or concepts related to religion, culture, and entertainment","['stately buildings', 'unredeemable sinners', 'holidays in hospitals', 'guilty unredeemable sinners', 'several villages', 'claim to fame', 'unredeemable sinners and', 'start to draw', 'herd of deer', 'local church', 'villages', 'headsets', 'debbie reynolds', 'the hindu temple', 'chariots', 'bleachers', 'days a week', 'tribal rituals', 'shells and pebbles', 'destroyed and debauched', 'crannies', 'number of jobs', 'dvds and', 'nooks crannies', ""father 's funeral"", 'home ordered', 'they still say', 'pair of headphones', 'years and years', 'and over again', 'hoax perpetrator culprit', 'number of people', 'birth certificate', 'toothbrush toothpaste', 'religion or business', 'a music video', 'number of times', 'easter blazer', 'jewish funeral there', 'in the hallway', 'along the way', 'anecdotes', 'cartwheels', 'cowboys and broncos', 'calligrapher and', 'bass player', 'tunnels and come', 'over the years', 'then i come', 'dvd', 'on memorial day', 'a gourd', 'up the hill', 'and i kept', 'different famous people', 'drove onto the', 'then they come', 'paparazzi', 'and a grave', 'tear down my', 'chariots of', 'dvds', 'on the beach', 'in the bleachers', 'calligrapher', 'glenfiddich', 'the theme song', 'stately buildings on', 'drove up', 'woodsman', 'hindu temple', 'replications of', 'cell phone number', 'dingy little rooms', ""father 's passing""]",22,0.687
120,0.027,"art, creativity, and the creative process","['is is that', 'all week', 'was and is', 'dates with other', 'exists um this', 'are what are', 'is essence', 'are that are', 'is because for', 'and so ]', 'because after', 'is and', 'process the process', 'and so everybody', 'artists model', 'and so basically', 'and so while', 'were are and', 'artist', 'once again twenty', 'pass that this', 'go and as', 'is is is', 'sculptures these sculptures', 'is is', 'is so', 'so ]', 'is an art', 'for this final', 'longer the enemy', 'know eight', 'and and normally', ""being that 's"", 'is not infinitely', 'like and everybody', 'present just relax', ""is n't"", 'so and talk', 'nothing and and', 'because as', 'is such', 'while so', 'also because sh', 'did and as', 'that evening', 'and this theory', 'was and and', 'on eat', 'is always equals', 'and and all', 'around the stadium', 'are covered let', 'and since quantum', 'it is and', 'on the stage', 'and is to', 'have is that', 'be just it', 'show of', 'so and they', 'always have', 'shadows this really', 'tour and so', 'and and bird', 'artists model starts', 'again something something', 'is every', 'we really we', 'modeling agency', 'whatever it', 'watch the four', 'unsent', 'is one', 'ever', 'that that that']",144,0.628
82,0.026,"express surprise, disbelief, or confusion","['oh my god', 'that was weird', 'sucked that bad', 'jeez so', 'that was great', ""wow that 's"", 'well there goes', 'jeez so like', 'it sucked that', 'which was great', 'that really blew', ""well that 's"", 'sam was still', 'my god but', 'that helped', 'which was very', 'heathrow', 'boy was', 'that was kind', 'cause sam liked', 'which is weird', 'wait a minute', 'so shy was', 'fuck why', 'um that was', 'there goes that', 'that was exactly', 'this was way', 'wait a second', 'this was not', 'yeah but not', 'there goes', 'so that was', 'that was really', 'shy was', 'oh my', 'this really weird', 'oh what the', 'that caught my', 'that really hurt', 'my god and', 'that felt creepily', 'that was very', 'bullet proof vest', 'this really cool', ""that 's weird"", 'it hit me', 'oh well that', 'there that was', 'by the way', 'it was odd', 'oh well how', 'kinda weird because', 'ah jeez so', 'worst part was', 'fuck could', 'wow that', 'i really hated', 'oh wow this', 'i found disconcerting', 'shy was cause', 'so fucking', 'because that was', 'sorry to interrupt', 'right handed bat', 'sucked that', 'god this could', 'those very naughty', 'that made me', 'left handed bat', 'here we go', 'how the hell', 'oh well this', 'sam had said', 'the hell did']",91,0.645
111,0.026,"contractions, such as ""it's"" and ""they'd""","[""'s how it"", ""'s so young"", ""'re so young"", ""'s so tiny"", ""'s how they"", 'yeah you think', ""'s so cool"", 'how how it', 'the nicest thing', ""'s how you"", 'care how do', 'wheh stih you', 'oh tricia', 'what stopped our', 'do you think', 'care you know', 'what we thought', ""'s like we"", 'its like everybody', ""laziness it 's"", 'going ah jeez', 'okay are you', 'marie claire magazine', ""'re basically driving"", 'it wheh stih', 'you how much', ""'s why we"", 'sh you know', ""we 're like"", 'hot do you', ""'s so interested"", ""'s like they"", 'us you know', 'how you feel', ""'s just crying"", 'its so interesting', 'it if we', ""how we 're"", ""hey you 're"", ""'ll you know"", ""'s wha fuck"", ""'s the problem"", 'how you wanna', ""they did'nt tell"", ""'s weird you"", 'says oh tricia', ""'s let 's"", ""'s like fucking"", 'it how can', 'y you know', ""'re turning ninety"", 'thing about our', 'us how we', ""'s okay you"", 'them how it', ""'s a dream"", ""'s twenty bucks"", 'me do you', 'think you can', 'it how it', ""it 's cool"", ""money it 's"", 'you you want', 'it you big', 'you do got', 'me how old', ""us it 's"", 'could not care', 'that your lpu', 'the weirdest thing', ""'re acting like"", ""n't you think"", 'what you know', 'how can we', ""how it 's""]",63,0.656
81,0.025,"""wanna"" or ""wants""","['things at home', 'wanna give it', 'what helmut newton', 'forefingers', 'wanna shoot', 'places his hip', 'head really really', 'you kidding i', 'you something he', 'really wanna speak', 'loves men', 'yankees which when', 'it wanna give', 'tai chi players', 'wanna give', 'dates in college', 'all these swedish', 'my shoulder mostly', 'wanna be', 'wha what', 'me um years', 'a tai chi', 'things from', 'lives which if', 'other reasons', 'us some questions', 'really loves men', 'wanna drink', 'clothes my books', 'views that people', 'with things um', 'said when are', 'as a ski', 'part time', 'you that uncle', 'broke his shoulder', 'president gives me', 'shoulder mostly i', 'really which if', 'um shoulder', 'push ups so', 'wanna take', 'woodsman', 'wants to photograph', 'as a young', 'wa that maybe', 'animals all these', ""who 's husband"", 'wanna talk', 'events', 'spirits so', 'is some grown', 'ups so', 'which these things', 'mail um a', ""'m all these"", 'shoulder mostly', 'can my daughter', 'your knees so', 'wanna shoot it', 'wha what the', 'my back which', 'head really', 'reasons for', 'grabs my bare', 'you that if', 'wanna meet her', 'when are', 'wanna go', ""women 's lives"", 'wanna get', 'is this happening', 'tai chi in', 'know like like', ""'s chest um""]",64,0.655
