,pSTS,M1F,OPA,Broca,SMFA,M1M,V3A,V3B,ATFP,FO,PPA,hMT,LO,PMvh,V1,V2,V3,V4,V7,FEF,AC,OFA,SEF,VO,S1H,IFSFP,S1M,S1F,EBA,M1H,RSC,sPMv,IPS,SMHA,FFA,RSC_only,OPA_only,PPA_only
18,script excuse me,a moment like,on the ceiling,say just kidding,points of view,my newfound freedom,of terrible things,felt like brothers,i was fourteen,in nineteen thirty,on the sidewalk,change his life,my crazy childhood,months passed and,how most families,religion my family,i felt empowered,so my shrink,as the prophets,over his shoulder,googling myself googling,of her thoughts,um one day,growing up we,summer after summer,twentieth nineteen ninety,feeling of adventure,ask them questions,his arm around,sense of relief,moved to brooklyn,march twentieth nineteen,were slats,a deep existential,'s hair flying,back in boston,twenty feet above,richard had autism
19,looks over at,newfound self esteem,on the windowsill,smiled i smiled,values and morals,two philosophies two,horrific nightmarish,of different things,i google her,nineteen forty,nondescript office buildings,dysfunctional family,my childhood,i was seven,i did plenty,our favorite childhood,i felt nervous,newfound self esteem,of my subconscious,places his hip,we got engaged,changes your life,'m like yeah,embrace the idea,broke the ice,until nineteen seventy,your mind ca,this sense of,covered my hand,i often wonder,arrived in tokyo,more time passed,nineteen sixty,this conflict between,chopsticks flipped,back in marrakesh,his back turned,tasted pretty bad
20,say excuse me,i felt empowered,down this embankment,hurry she exclaimed,self help books,the luddites,of his memories,i felt connected,i was seven,nineteen thirty,of manicured lawns,wrapped the strap,about my feelings,i walk over,you tell people,feel very cool,and my upbringing,felt very relieved,differing points of,i turn around,screams fuck you,ways of thinking,in nineteen sixty,religion my family,melt shrinking ice,in nineteen fifty,feeling of freedom,so many emotions,i reach under,when people ask,moved to london,fifteen meters fifty,the mirror behind,what fascinated me,some sliced cucumber,being in canada,see the horizon,care a euphemism
21,i started laughing,feel that way,we ran upstairs,i said honey,one evening after,like the proverbial,shame or regret,happier person so,malcolm gladwell famously,of nineteen ninety,lakes and manicured,wraps his arms,as a kid,i walked inside,parties i usually,i remember feeling,neuroses and anxieties,my crazy childhood,as a kid,you sit backward,puns ensued,jumble of emotions,in nineteen fifty,get over guilt,like hey um,and nineteen fifty,chatted about work,would show them,he reached under,straddling two lives,off in vancouver,'re turning ninety,the tops of,sense of freedom,the sheets shuffled,'m in michigan,seats behind the,of corny
22,interrupted the conversation,i usually research,up those stairs,response was nah,this conflict between,gladwell famously,religion my family,my crazy childhood,invented tetris,in nineteen forty,the dark driveway,about my sadness,i felt connected,they started walking,cold sugary sweet,disgust but pity,disgust but pity,from our childhood,in my early,grab his arms,exhalation someone shouted,games my mother,what the words,shift in attitude,these long existential,of nineteen ninety,feelings i had,this conflict between,navigated pushy elbows,these long existential,traveled to marrakesh,june of nineteen,mile thick ice,of my childhood,of flower petals,home in chicago,to my right,of semi lame
23,breath he yelled,how i felt,above the gulf,whisper she said,near religious faith,like many a,ways of thinking,for something spiritual,i tell them,was nineteen seventy,there were shelves,ease her worries,felt like brothers,downstairs we walked,feel very cool,my entire life,empathy and compassion,takes a village,anything to distract,door behind me,the canoodling commenced,i can remember,'s like um,shame and resentment,shift in attitude,is turning ninety,i tell people,how it felt,elbows on knees,the family psychic,moved to washington,googling her googling,all four corners,one summer my,my boots clanking,i left vermont,and high rafters,as an insult
24,moment she gasped,helps the soul,facing the beach,and screams fuck,senses were heightened,like an orwell,for something spiritual,me their stories,i was five,nineteen eighty,i remember walking,an abusive relationship,disgust but pity,weeks passed and,would wax philosophical,was my secret,ways of looking,generations of trauma,my newfound freedom,pushed myself up,response was nah,empathy and understanding,november two thousand,what my mother,my husband about,april of nineteen,one evening after,despite the awkward,shoes propped,football for christmas,'m in michigan,then girlfriend now,see the horizon,i felt empowered,smite their brows,moved to brooklyn,about twenty feet,almost being brainwashed
25,said guess what,my readings about,over the embankment,i started laughing,my story begins,one evening after,empathy and compassion,of terrible things,googling her googling,was nineteen eighty,of cornfields,me their stories,my school days,forty years pass,people i asked,my upbringing,from his memories,empathy and understanding,it felt magical,over their shoulders,whisper she said,crush their spirits,i nodded please,course my mother,some uhh um,in nineteen ninety,like something profound,my newfound freedom,'s hair flying,know that feeling,back in brooklyn,is turning ninety,a long white,jumble of emotions,eyes are bulging,were in japan,door behind me,like his nickname
26,she yelled i,gave me courage,up the stairs,fifteen meters fifty,disgust but pity,um yes uh,so blah blah,so blah blah,me at fifteen,on nineteen ninety,and shimmering skyscrapers,friends about everything,ugliness and malice,he walks over,recall many instances,after a lifetime,i can remember,everything my parents,the whole wide,he reached under,script excuse me,shame or regret,relatives the people,my motivation after,it felt magical,nineteen seventy,dispel a myth,feelings that i,over his shoulder,the disconnect between,i drove to,hour thirty forty,of nineteen sixty,in their lives,a walrus mustache,off in vancouver,the door behind,salad and stale
27,eyes and snickered,independence and freedom,we go downstairs,she said excuse,these alternate universes,like jane goodall,about anything ever,taught me things,i was ten,and nineteen thirty,a private beach,like my life,welcomed new experiences,off we flew,last guy i,like my family,mom often told,i felt empowered,so anyway years,hit the railing,i was joking,mom often told,i was fifteen,disgust but pity,the disconnect between,in nineteen seventy,freud,this strange sense,danced throwing blankets,of hopes fears,back in israel,to nineteen forty,that flips up,the dichotomy between,pushed my scalp,went to india,toward the back,save the crusts
28,then in unison,best day of,lights peeking over,i said damn,one afternoon when,these shifts in,in their lives,values and morals,eighteen i moved,twentieth nineteen ninety,there were slats,wrapped my napkin,i felt triumphant,i whirled around,years of babysitting,my whole life,on some level,games my mother,i would often,cross legged on,i said mmm,on some level,imagine my joy,games my mother,about my life,june of nineteen,hear my contemporaries,felt so relieved,over my shoulder,our plan for,in lower manhattan,on nineteen ninety,two mile thick,my story begins,pigtails with ribbons,arrived in indianapolis,over his shoulder,snake oil
29,she hung up,this emotional fortitude,door behind me,loudly said oh,i remember after,or rats geese,better about ourselves,of mind so,when people ask,'s nineteen seventy,there 's trees,unique my childhood,gives me hope,i was six,the years studying,jumble of emotions,everything my parents,so many emotions,i remember like,arms flailing,girlfriend now ex,in my childhood,on nineteen ninety,happier person so,in the surreal,in nineteen forty,like a ghost,oddly calm,patted his behind,feeling of adventure,nineties new york,fifty pounds fifty,this long hallway,feeling of freedom,my rib cage,drove to washington,feet above the,says um and
30,crowd fell silent,sense of calm,railing looking out,i said yeah,deep existential despair,my mind lately,us seemed somehow,horrific nightmarish,divert the asteroid,in nineteen ninety,the leafy garden,intakes dysfunctional family,of her feelings,i was eleven,like my family,man my family,mother used to,shaped their mind,dysfunctional family,i leaned down,yourself she said,people whose ideas,september twenty first,you would forgive,art as process,until nineteen ninety,people i encountered,feeling empowered,skirt up so,fucking bitch ahahah,hometown in texas,was july thirtieth,sides of the,sadness was palpable,skivvies toothbrush floss,went to manchester,hands went underneath,explains her name
31,heard another thud,like the anxious,hundred feet up,i said uh,i was fascinated,deep existential,and uh um,in their lives,people often ask,and nineteen fifty,and high rafters,neuroses and anxieties,feel any happy,i was five,wave of anger,of proving to,my mind while,ways of looking,these two perspectives,i walked forward,raped oh wait,my crazy childhood,of nineteen fifty,takes a village,our plan for,nineteen forty,in my mind,my upbringing,her head brushed,this mixed blessing,went to manchester,'s nineteen forty,steps leading down,so one day,my black fingernails,in new orleans,towards the ground,stale baked goods
32,started to laugh,about their life,the door behind,i said oh,the consensus among,vonnegut once said,life and find,of my subconscious,am often asked,until nineteen seventy,at those cliffs,recall many instances,growing up i,how it starts,ice cold sugary,me to calm,my childhood,helped me along,of human history,scissors behind you,and i bickered,absorb the lesson,environmentalism the belief,of my childhood,the unbearable horror,before nineteen eighty,with my classmates,about my feelings,elbows on,great feeling of,it was summer,twenty minutes thirty,soft green expanse,how to relate,like a hairball,leaving for france,his feet hanging,your hair smells
33,pull over lemme,read a book,down the embankment,she yelled i,in college a,in the surreal,of different things,me feel better,i was six,one nineteen forty,our bedroom window,my crazy childhood,shame or regret,it was early,books and speeches,feelings i had,hopes fears memories,answered many questions,feeling of freedom,hand came over,say just kidding,from my mother,a surprising realization,something about something,clench my jaw,was nineteen seventy,feeling isolated,this surge of,wrapped my napkin,these two worlds,upstate new york,say excuse me,along the top,on some level,brushed the hair,'m from detroit,feet touch the,puns
34,loudly said oh,two philosophies two,to the hallway,says ah suzanne,a surprising realization,dating is about,about myself but,i felt empowered,malthus who famously,nineteen fifty,of torn fishnet,dreams and ambitions,friends about everything,it was late,my parents for,kindness and humor,feelings i had,my childhood,about their life,arms around her,suddenly thought oh,mother used to,there we were,father and in,as my friends,nineteen fifty,fears i had,a moment like,extended my hands,my newfound begrudging,suburbs of baltimore,thirty suddenly four,two mighty cliffs,is very existential,my bed bobbing,out to ohio,behind her and,his flannel shirt
35,she said excuse,you tell people,was led upstairs,screams fuck you,feeling of adventure,of the fabled,grandma who always,i was nervous,i googled,in eighteen eighty,i remember sitting,culturally appropriate gift,from our childhood,i was fifteen,i can remember,change his life,resources or options,some feelings when,these different scenarios,wraps his arms,snide comment,like something profound,outrage disdain,i felt nervous,remember being fascinated,year two thousand,after this journey,i remember sitting,his arms around,this strange feeling,camp in upstate,nineteenth nineteen forty,row of seats,a way forward,like confetti,lived in texas,stand in front,lip is split
36,um she laughed,these very different,across the street,exhalation someone shouted,my family were,alternate universes,cheer you up,friend since childhood,you google her,before nineteen eighty,our modest backyard,entire childhood,generosity and compassion,am turning forty,like to joke,sense of relief,my my family,as a child,empathy and understanding,elbows on,maybe two maybe,what my mother,best moment ever,answered many questions,thrill and relief,'s nineteen seventy,there we were,how it feels,fists clutching,my worries vanished,we were downtown,forward three years,the snow bank,fears i had,powder over their,live near detroit,down one side,of money darning
37,suddenly he stops,this idea that,are steps leading,one mississippi two,such profound awesome,malcolm gladwell famously,uh everything anything,and my upbringing,mississippi two mississippi,in nineteen eighty,path that jutted,habits and hobbies,i remember after,i was ten,religion my family,in my mind,grandma who always,these long existential,as a child,over my shoulder,she started laughing,i remember after,uh one day,sense of humor,these shifts in,one nineteen forty,like many a,ways of thinking,hands into my,the boogie man,in nashville tennessee,until nineteen sixty,green expanse of,someone once told,squeaky round styrofoam,back in manhattan,on opposite sides,of knock off
38,say just kidding,what i decided,cross the bering,stop she said,school crush,so blah blah,absorb the lesson,i remember feeling,stillbirth a miscarriage,two thousand four,down the sidewalk,assumptions into question,about their life,i was walking,they kinda snap,of satisfaction,shift in attitude,i can remember,incomprehensibly vast,found myself straddling,bready puns ensued,of our upbringing,i was fourteen,prophets willing to,tourists snapping photographs,nineteen eighty,prisoner from rikers,in the awkward,my boots clanking,the priests move,drove out to,say these words,in nineteen sixty,ask them questions,his hand curling,drove out to,over the ceiling,called baloney
39,adam kept whispering,myself at school,this long hallway,screamed the words,existential despair,what better revenge,months of practicing,welcomed new experiences,relatives here in,since nineteen eighty,in my dorm,slowly the strap,about my life,as the year,i tell everyone,dreams and ambitions,newfound self esteem,my mom often,these long existential,chopsticks flipped,stop she said,my childhood,sixty fifth,people ask me,religions i have,nineteen thirty,very existential,i felt empowered,the sheets shuffled,this conflict between,in downriver michigan,september nineteenth nineteen,this swirling vortex,one afternoon when,crusty baguettes,been to israel,on either side,burnt steak
40,she laughs then,it felt magical,twenty feet above,i stopped midstride,a hollywood analogy,two alternate universes,my crazy childhood,ways of thinking,i google myself,between nineteen fifty,at a woodsy,chopsticks flipped,about my sadness,god another year,what fascinated me,and my family,generations of trauma,this horrible emptiness,entire childhood we,shoulder the door,pasties i said,if my mother,this complicity this,i would marvel,options you have,march twentieth nineteen,that my shrink,read a book,hand on his,these two perspectives,normal suburban pittsburgh,googling myself googling,nineteen seventy,it seemed incongruous,like snails curled,we left poland,on each side,practiced that answer
41,i said mmm,feel very cool,on that distant,visit excuse me,my childhood,a near religious,kindness and humor,better about ourselves,would google her,june of nineteen,or wheat fields,me on dates,as a child,go on vacation,was my secret,were my family,my upbringing,growing up we,years go by,he turn around,say excuse me,make them proud,of nineteen sixty,but my mother,my father about,and nineteen thirty,friend from school,this horrific nightmarish,my arms around,the flaws in,in upstate,forty years pass,giant stone cliffs,i remember once,boots clanking,moved to washington,than eight feet,'s snake oil
42,until she yelled,book that explored,to the north,started to laugh,a good omen,a man once,be ok somehow,myself feel better,so i google,our nineteen eighty,a restaurant stoop,completely unaccommodating humbling,very vivid memories,as i sat,i was comfortable,recall many instances,i felt ashamed,of his memories,my crazy childhood,shuffle over and,sudden i felt,my mind lately,in baghdad iraq,me for years,my reunion like,five only twenty,sense of freedom,of our upbringing,chopsticks flipped,environmentalism the belief,were in paris,weeks became months,the expanse of,the usual questions,wrapped my napkin,back in brooklyn,over the door,slices of bread
43,me her number,in my life,dangling over the,two mississippi three,seeds of doubt,schools of thought,this horrific nightmarish,sort of maternal,i was eight,texas nineteen sixty,green expanse of,they would drag,of his memories,i tell them,like a tender,and hobbies,growing up i,and my upbringing,of moving on,lifted her up,he said wow,dysfunctional family,says ah suzanne,you tell people,was my summer,september nineteenth nineteen,feeling empowered,how i felt,places his hip,this complicity this,living in chicago,nineteen ninety,the atlantic ocean,oddly calm cool,in pigtails,hometown in texas,along the top,yeast extract
44,behind me feigning,the day had,sun was setting,i started yelling,humiliation and rage,i felt empowered,father and in,my my family,sixty miles apart,day nineteen forty,at a picnic,like repressed memory,something i remember,i remember walking,am often asked,i was happy,growing up we,on some level,my entire childhood,i reached over,no brain tumor,and my upbringing,was like okay,of feeling more,i remember after,in eighteen eighty,reliving a fear,memories that i,yanked the comforter,i tell people,i drove out,nine nineteen seventy,across the width,i remember as,hair flying arms,around in mexico,over the side,with a puree
45,stop she said,a feeling i,to my right,you answer oh,childhood had been,boyish almost biblical,happier person so,generosity and compassion,googling yourself,bit nineteen sixty,the front steps,my entire life,friendship and generosity,i was fourteen,as the prophets,ever be ashamed,felt very relieved,course my mother,you would forgive,pulled me forward,said it blushing,as a kid,day nineteen eighty,values and morals,be humble,in nineteen eighty,my shrink,great feeling of,over their shoulders,felt no shame,i drove home,of nineteen forty,was nineteen eighty,maximize individual liberty,tears rolling,to new york,over the embankment,'s company tagline
46,provoked gasps,anyway the day,the double doors,sudden i felt,that sharp wit,in my view,happy with yourself,in my childhood,people i asked,until nineteen ninety,in the parking,as a kid,in my mind,the rain stopped,i remember feeling,wave of anger,from our childhood,gives me hope,i remember my,i stumbled forward,um she laughed,one summer my,i said alright,teach you something,my dream job,two thousand four,so the journey,whatever incongruities,her skirt to,admired his confidence,an hour south,twentieth nineteen ninety,rope hanging from,my entire childhood,full of manicured,go to spain,to duck under,he meant it
47,she shouted back,people whose ideas,reached the interstate,breath he yelled,i remember feeling,revenge fantasies,my my family,grandma who always,and i google,between nineteen thirty,in the hallway,the worst breakups,thought my life,we would walk,but what i,it 's meditative,no satisfying fantasies,an unpleasant memory,my whirlwind dating,his shoulder toward,point was moot,i felt connected,august of twenty,of our upbringing,great feeling of,day nineteen forty,were studying geography,their questions,rough hands groped,i would marvel,go to vancouver,year two thousand,place the blocks,my childhood,a hand poking,come to morocco,the mirror behind,acted like one
48,and snickered,life narrative is,on opposite coasts,somebody then yelled,feeling almost righteous,newfound freedom,stories and so,eventually i forgave,practice of googling,april of nineteen,against the windows,values and morals,the greatest fears,'m on tour,have to worry,doing something pleasant,sense of freedom,mollify the anger,whatever was missing,over the side,died i said,what our mothers,was like ok,felt that somehow,my life of,was september twenty,'m feeling angry,at times like,my arms out,seismic shift in,back in alabama,i was thirty,of nineteen eighty,story your story,flavors swirling,move to texas,down this embankment,what snake oil
49,googling her googling,in their lives,seats behind,died i said,anyway the point,these alternative paths,and fulfilling life,life and find,no brain tumor,year two thousand,from my dorm,legs pulled,in their lives,soon i stood,pleasure i experienced,my aunts would,some feelings when,unpleasant memory,say the loneliness,flying arms flailing,i said wow,as a child,i was seventeen,think bad thoughts,a mental map,october of nineteen,filled the awkward,bizarre feeling,my napkin around,i began wondering,i flew home,turning ninety,shirt the suspenders,i felt nervous,his spine twisted,flew from pittsburgh,that forms horizontal,a sandwich rejected
50,turned and walked,questions i answered,long rows of,sudden i heard,really quite magical,scientists economists,career rat race,about myself but,i am fifteen,this nineteen seventy,in my cubicle,with my newfound,sense of relief,six weeks passed,like most,an extraordinary satisfaction,my mom often,i felt triumphant,so growing up,i walk over,i said oh,i remember my,what 's up,my whirlwind dating,senses were heightened,this nineteen seventy,my story begins,this awkwardness,cross legged on,feelings i had,college in boston,we got engaged,and high rafters,generations of trauma,a bumpy orange,here in manhattan,him behind me,mening meringue
51,whisper she said,what i learned,in the distance,googling her googling,on some level,so one day,misfits and weirdos,us seemed somehow,on my birthday,day nineteen eighty,this long hallway,into their lives,so my shrink,i was eight,and they ask,good feeling to,my mother taught,as a kid,forty years pass,hands went underneath,suddenly i felt,of her feelings,were like haha,deserves more empathy,like the truth,since nineteen eighty,felt a sense,this horrible emptiness,situated herself behind,how i felt,up in oklahoma,october of nineteen,this ice curtain,as i explain,feel something sharp,driving around detroit,long hallway toward,names like cheesy
52,snapped at him,all these different,feet above the,sudden we hear,i felt triumphant,outrage disdain,kinda cute anecdotes,so many emotions,i was eighteen,march twentieth nineteen,and manicured lawns,the horrors of,what i remember,can give tours,built a life,from our childhood,my crazy childhood,neuroses and anxieties,as the year,flop down,practiced that answer,unpleasant memory,on independence day,felt like everything,straddling two lives,fifteen meters fifty,boyish almost biblical,of questions like,hair dangling over,this strange sense,in new orleans,was nineteen eighty,july nineteen forty,a seismic shift,the couch elbows,nineties new york,hit the railing,school motto
53,said it blushing,can remember believing,against the windows,she said wincing,vonnegut once,the disconnect between,many things but,it was transformative,to google her,a nineteen thirty,at a wooden,brushed the hair,into their lives,walked away and,of my childhood,about their life,i was nervous,i remember feeling,first dates can,put my arms,mississippi two mississippi,of his memories,was like um,in my mind,mental map of,two thousand fifty,felt on board,i tell people,chair and propped,like a ghost,reached the interstate,nineteenth nineteen,thousand miles across,about their life,sliced cucumber,up in finland,over their shoulders,against his wishes
54,the pastor interrupted,feelings you have,of seats behind,he said wow,me their stories,between two philosophies,sense of satisfaction,felt very relieved,we got engaged,september nineteenth nineteen,onto the sidewalk,i prided myself,my entire childhood,eighteen i moved,my newfound freedom,tools of creativity,in my mind,disgust but pity,of our journey,up behind me,said oh ok,my last breakup,'re like yeah,shame or regret,like behind the,in nineteen thirty,at my temp,of uneasiness,pushed my scalp,like a superhero,flew from pittsburgh,i was twenty,october nineteen forty,great feeling of,eyes were huge,arrived in kenya,herself upside down,she was serious
